"timestamp","$qw_message","event.provider","fly.app.instance","fly.app.name","fly.region","fly.zone","log.level","message","sort"
1764397258440,"File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in <listcomp>",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"  File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in <listcomp>",1764397258000000000
1764397258440,^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,app,4d89615f2e2638,shedulebot,sin,e2dd,info,                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,1764397258000000000
1764397258436,"day_of_week="","".join([self._CRON_MAPPING[d] for d in days]),",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"    day_of_week="","".join([self._CRON_MAPPING[d] for d in days]),",1764397258000000000
1764397258436,"File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in run_daily",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"  File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in run_daily",1764397258000000000
1764397258436,shedule_update.run_daily(,app,4d89615f2e2638,shedulebot,sin,e2dd,info,    shedule_update.run_daily(,1764397258000000000
1764397258436,"File ""/app/Bot.py"", line 170, in main",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"  File ""/app/Bot.py"", line 170, in main",1764397258000000000
1764397258436,main(),app,4d89615f2e2638,shedulebot,sin,e2dd,info,    main(),1764397258000000000
1764397258436,"File ""/app/Bot.py"", line 179, in <module>",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"  File ""/app/Bot.py"", line 179, in <module>",1764397258000000000
1764397258435,Traceback (most recent call last):,app,4d89615f2e2638,shedulebot,sin,e2dd,info,Traceback (most recent call last):,1764397258000000000
1764397258312,Bot started...,app,4d89615f2e2638,shedulebot,sin,e2dd,info,Bot started...,1764397258000000000
1764397258286,JSON data saved successfully!,app,4d89615f2e2638,shedulebot,sin,e2dd,info,JSON data saved successfully!,1764397258000000000
1764397256448,2025/11/29 06:20:56 INFO SSH listening listen_address=[fdaa:18:4e6c:a7b:7f07:1565:a3e8:2]:22,app,4d89615f2e2638,shedulebot,sin,e2dd,info,2025/11/29 06:20:56 INFO SSH listening listen_address=[fdaa:18:4e6c:a7b:7f07:1565:a3e8:2]:22,1764397256000000000
1764397256251,Machine started in 1.224s,runner,4d89615f2e2638,shedulebot,sin,e2dd,info,Machine started in 1.224s,1764397256000000000
1764397256103,[32m INFO[0m [fly api proxy] listening at /.fly/api,app,4d89615f2e2638,shedulebot,sin,e2dd,info,[32m INFO[0m [fly api proxy] listening at /.fly/api,1764397256000000000
1764397256102,[32m INFO[0m Preparing to run: `python Bot.py` as root,app,4d89615f2e2638,shedulebot,sin,e2dd,info,[32m INFO[0m Preparing to run: `python Bot.py` as root,1764397256000000000
1764397256007,[32m INFO[0m Starting init (commit: fedadb2e)...,app,4d89615f2e2638,shedulebot,sin,e2dd,info,[32m INFO[0m Starting init (commit: fedadb2e)...,1764397256000000000
1764397255027,"2025-11-29T06:20:55.027022667 [01K7JV6JP9BMAMR8Q64Z2VR3GM:main] Listening on API socket (""/fc.sock"").",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"2025-11-29T06:20:55.027022667 [01K7JV6JP9BMAMR8Q64Z2VR3GM:main] Listening on API socket (""/fc.sock"").",1764397255000000000
1764397255026,2025-11-29T06:20:55.026696289 [01K7JV6JP9BMAMR8Q64Z2VR3GM:main] Running Firecracker v1.12.1,app,4d89615f2e2638,shedulebot,sin,e2dd,info,2025-11-29T06:20:55.026696289 [01K7JV6JP9BMAMR8Q64Z2VR3GM:main] Running Firecracker v1.12.1,1764397255000000000
